NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
HERHON,"2,621.20","2,609.25","2,616.85","2,624.00","2,615.00","2,609.25",11.95,+0.46,210,09:17:13.000,"3,382.70","2,228.25",2019-10-15 09:16:00,2019-10-15,09,16
BRIIND,"3,137.05","3,107.20","3,139.90","3,146.00","3,129.35","3,107.20",29.85,+0.96,810,09:17:14.000,"3,443.90","2,302.00",2019-10-15 09:16:00,2019-10-15,09,16
UNIP,583.20,586.95,585.30,585.30,580.95,586.95,-3.75,-0.64,"1,656",09:17:16.000,709.25,390.53,2019-10-15 09:16:00,2019-10-15,09,16
DRREDD,NA,"2,648.90",NA,NA,NA,"2,648.90",NA,NA,NA,09:17:18.000,"2,965.20","2,065.30",2019-10-15 09:16:00,2019-10-15,09,16
ADAPOR,409.90,406.95,409.50,409.90,407.60,406.95,2.95,+0.72,611,09:17:20.000,430.00,293.95,2019-10-15 09:16:00,2019-10-15,09,16
GRASIM,694.65,698.65,699.00,699.00,694.55,698.65,-4.00,-0.57,"1,569",09:17:22.000,958.55,635.60,2019-10-15 09:16:00,2019-10-15,09,16
VEDLIM,146.25,147.85,147.50,147.50,146.10,147.85,-1.60,-1.08,"8,956",09:17:25.000,228.00,125.70,2019-10-15 09:16:00,2019-10-15,09,16
HINDAL,186.90,188.80,188.00,188.00,186.85,188.80,-1.90,-1.01,"4,838",09:17:27.000,246.00,171.25,2019-10-15 09:16:00,2019-10-15,09,16
TATSTE,342.60,344.85,345.50,346.15,342.25,344.85,-2.25,-0.65,"13,414",09:17:30.000,610.00,320.30,2019-10-15 09:16:00,2019-10-15,09,16
EICMOT,"18,350.00","18,311.25","18,370.00","18,370.00","18,270.00","18,311.25",38.75,+0.21,40,09:17:32.000,"25,300.00","15,196.95",2019-10-15 09:16:00,2019-10-15,09,16
GAIL,126.10,125.85,126.50,126.85,126.10,125.85,0.25,+0.20,"1,921",09:17:35.000,190.98,119.65,2019-10-15 09:16:00,2019-10-15,09,16
JSWSTE,219.35,221.50,221.05,221.05,219.35,221.50,-2.15,-0.97,"3,243",09:17:37.000,384.90,201.90,2019-10-15 09:16:00,2019-10-15,09,16
BHAINF,256.25,259.25,258.25,258.25,256.25,259.25,-3.00,-1.16,95,09:17:38.000,333.80,238.70,2019-10-15 09:16:00,2019-10-15,09,16
CIPLA,437.00,440.85,444.00,444.00,436.00,440.85,-3.85,-0.87,"1,921",09:17:41.000,651.95,389.55,2019-10-15 09:16:00,2019-10-15,09,16
TATMOT,126.10,127.80,127.50,127.50,125.85,127.80,-1.70,-1.33,"72,620",09:17:43.000,239.30,106.00,2019-10-15 09:16:00,2019-10-15,09,16
ZEEENT,239.45,242.55,237.95,241.25,236.30,242.55,-3.10,-1.28,"14,174",09:17:45.000,506.10,203.70,2019-10-15 09:16:00,2019-10-15,09,16
YESBAN,40.80,40.00,41.00,41.40,40.70,40.00,0.80,+2.00,"304,663",09:17:48.000,285.90,29.05,2019-10-15 09:16:00,2019-10-15,09,16
BSESEN,"38,303.69","38,214.47","38,316.49","38,318.11","38,238.27","38,214.47",89.22,+0.23,NA,09:17:50.317,NA,NA,2019-10-15 09:17:49,2019-10-15,09,17
HDFBAN,"1,212.75","1,203.15","1,210.00","1,212.75","1,207.80","1,203.15",9.60,+0.80,"1,773",09:17:53.000,"1,285.00",942.20,2019-10-15 09:17:49,2019-10-15,09,17
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,"2,225,733",15:30:03.000,152.95,68.10,2019-10-15 09:17:49,2019-10-15,09,17
HDFC,"2,024.95","2,011.50","2,013.00","2,026.00","2,013.00","2,011.50",13.45,+0.67,507,09:17:57.000,"2,357.00","1,646.00",2019-10-15 09:17:49,2019-10-15,09,17
INFTEC,770.40,785.65,773.80,774.75,767.25,785.65,-15.25,-1.94,"28,572",09:17:58.000,847.40,600.65,2019-10-15 09:17:49,2019-10-15,09,17
ICIBAN,430.60,428.60,430.00,430.65,428.00,428.60,2.00,+0.47,"7,816",09:18:00.000,458.45,309.60,2019-10-15 09:17:49,2019-10-15,09,17
ITC,245.60,244.20,247.40,247.40,245.10,244.20,1.40,+0.57,"5,972",09:18:03.000,310.00,234.10,2019-10-15 09:17:49,2019-10-15,09,17
TCS,"2,035.60","2,020.95","2,028.80","2,036.90","2,024.20","2,020.95",14.65,+0.72,"1,907",09:18:04.000,"2,296.00","1,784.00",2019-10-15 09:17:49,2019-10-15,09,17
