NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
INDOIL,146.35,144.80,145.95,146.95,145.20,144.80,1.55,+1.07,9505,09:17:05.000,170.40,116.10,2019-10-15 09:16:00,2019-10-15,09,16
COALIN,188.90,190.10,188.30,190.60,188.30,190.10,-1.20,-0.63,14281,09:17:07.000,288.30,177.80,2019-10-15 09:16:00,2019-10-15,09,16
WIPRO,245.00,243.35,244.00,245.40,244.00,243.35,1.65,+0.68,12957,09:17:10.000,301.55,220.50,2019-10-15 09:16:00,2019-10-15,09,16
HERHON,2621.20,2609.25,2616.85,2624.00,2615.00,2609.25,11.95,+0.46,210,09:17:13.000,3382.70,2228.25,2019-10-15 09:16:00,2019-10-15,09,16
BRIIND,3137.05,3107.20,3139.90,3146.00,3129.35,3107.20,29.85,+0.96,810,09:17:14.000,3443.90,2302.00,2019-10-15 09:16:00,2019-10-15,09,16
UNIP,583.20,586.95,585.30,585.30,580.95,586.95,-3.75,-0.64,1656,09:17:16.000,709.25,390.53,2019-10-15 09:16:00,2019-10-15,09,16
DRREDD,NA,2648.90,NA,NA,NA,2648.90,NA,NA,NA,09:17:18.000,2965.20,2065.30,2019-10-15 09:16:00,2019-10-15,09,16
ADAPOR,409.90,406.95,409.50,409.90,407.60,406.95,2.95,+0.72,611,09:17:20.000,430.00,293.95,2019-10-15 09:16:00,2019-10-15,09,16
GRASIM,694.65,698.65,699.00,699.00,694.55,698.65,-4.00,-0.57,1569,09:17:22.000,958.55,635.60,2019-10-15 09:16:00,2019-10-15,09,16
VEDLIM,146.25,147.85,147.50,147.50,146.10,147.85,-1.60,-1.08,8956,09:17:25.000,228.00,125.70,2019-10-15 09:16:00,2019-10-15,09,16
HINDAL,186.90,188.80,188.00,188.00,186.85,188.80,-1.90,-1.01,4838,09:17:27.000,246.00,171.25,2019-10-15 09:16:00,2019-10-15,09,16
TATSTE,342.60,344.85,345.50,346.15,342.25,344.85,-2.25,-0.65,13414,09:17:30.000,610.00,320.30,2019-10-15 09:16:00,2019-10-15,09,16
EICMOT,18350.00,18311.25,18370.00,18370.00,18270.00,18311.25,38.75,+0.21,40,09:17:32.000,25300.00,15196.95,2019-10-15 09:16:00,2019-10-15,09,16
GAIL,126.10,125.85,126.50,126.85,126.10,125.85,0.25,+0.20,1921,09:17:35.000,190.98,119.65,2019-10-15 09:16:00,2019-10-15,09,16
JSWSTE,219.35,221.50,221.05,221.05,219.35,221.50,-2.15,-0.97,3243,09:17:37.000,384.90,201.90,2019-10-15 09:16:00,2019-10-15,09,16
BHAINF,256.25,259.25,258.25,258.25,256.25,259.25,-3.00,-1.16,95,09:17:38.000,333.80,238.70,2019-10-15 09:16:00,2019-10-15,09,16
CIPLA,437.00,440.85,444.00,444.00,436.00,440.85,-3.85,-0.87,1921,09:17:41.000,651.95,389.55,2019-10-15 09:16:00,2019-10-15,09,16
TATMOT,126.10,127.80,127.50,127.50,125.85,127.80,-1.70,-1.33,72620,09:17:43.000,239.30,106.00,2019-10-15 09:16:00,2019-10-15,09,16
ZEEENT,239.45,242.55,237.95,241.25,236.30,242.55,-3.10,-1.28,14174,09:17:45.000,506.10,203.70,2019-10-15 09:16:00,2019-10-15,09,16
YESBAN,40.80,40.00,41.00,41.40,40.70,40.00,0.80,+2.00,304663,09:17:48.000,285.90,29.05,2019-10-15 09:16:00,2019-10-15,09,16
BSESEN,38303.69,38214.47,38316.49,38318.11,38238.27,38214.47,89.22,+0.23,NA,09:17:50.317,NA,NA,2019-10-15 09:17:49,2019-10-15,09,17
HDFBAN,1212.75,1203.15,1210.00,1212.75,1207.80,1203.15,9.60,+0.80,1773,09:17:53.000,1285.00,942.20,2019-10-15 09:17:49,2019-10-15,09,17
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-15 09:17:49,2019-10-15,09,17
HDFC,2024.95,2011.50,2013.00,2026.00,2013.00,2011.50,13.45,+0.67,507,09:17:57.000,2357.00,1646.00,2019-10-15 09:17:49,2019-10-15,09,17
INFTEC,770.40,785.65,773.80,774.75,767.25,785.65,-15.25,-1.94,28572,09:17:58.000,847.40,600.65,2019-10-15 09:17:49,2019-10-15,09,17
ICIBAN,430.60,428.60,430.00,430.65,428.00,428.60,2.00,+0.47,7816,09:18:00.000,458.45,309.60,2019-10-15 09:17:49,2019-10-15,09,17
ITC,245.60,244.20,247.40,247.40,245.10,244.20,1.40,+0.57,5972,09:18:03.000,310.00,234.10,2019-10-15 09:17:49,2019-10-15,09,17
TCS,2035.60,2020.95,2028.80,2036.90,2024.20,2020.95,14.65,+0.72,1907,09:18:04.000,2296.00,1784.00,2019-10-15 09:17:49,2019-10-15,09,17
KOTMAH,1592.00,1583.75,1586.00,1594.40,1586.00,1583.75,8.25,+0.52,812,09:18:07.000,1682.40,1099.00,2019-10-15 09:17:49,2019-10-15,09,17
LARTOU,1428.50,1422.65,1427.00,1430.30,1425.00,1422.65,5.85,+0.41,1077,09:18:08.000,1606.70,1183.40,2019-10-15 09:17:49,2019-10-15,09,17
HINLEV,2034.85,2014.70,2052.00,2052.00,2031.75,2014.70,20.15,+1.00,10292,09:18:11.000,2101.50,1500.40,2019-10-15 09:17:49,2019-10-15,09,17
AXIBAN,685.00,683.55,683.65,685.00,681.80,683.55,1.45,+0.21,6096,09:18:12.000,826.55,534.15,2019-10-15 09:17:49,2019-10-15,09,17
STABAN,256.95,255.45,256.80,257.05,256.05,255.45,1.50,+0.59,26249,09:18:13.000,373.70,244.35,2019-10-15 09:17:49,2019-10-15,09,17
