NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
TCS,2039.8,2020.95,2028.8,2045,2024.2,2020.95,2019-10-15 09:47:41,2019-10-15,9,47
KOTMAH,1598.35,1583.75,1586,1599.8,1577.8,1583.75,2019-10-15 09:47:41,2019-10-15,9,47
LARTOU,1424.8,1422.65,1427,1430.3,1422.45,1422.65,2019-10-15 09:47:41,2019-10-15,9,47
HINLEV,2036.25,2014.7,2052,2052.9,2026.75,2014.7,2019-10-15 09:47:41,2019-10-15,9,47
AXIBAN,686.8,683.55,683.65,690.35,681.8,683.55,2019-10-15 09:47:41,2019-10-15,9,47
STABAN,256,255.45,256.8,257.35,255.7,255.45,2019-10-15 09:47:41,2019-10-15,9,47
BAJFI,3897.25,3881.65,3909,3916.75,3880,3881.65,2019-10-15 09:47:41,2019-10-15,9,47
MARUTI,6836.35,6819.55,6829,6850,6810,6819.55,2019-10-15 09:47:41,2019-10-15,9,47
INDBA,1239.3,1250.5,1251.55,1261.1,1237,1250.5,2019-10-15 09:47:41,2019-10-15,9,47
ASIPAI,1824.15,1797.65,1797,1824.15,1797,1797.65,2019-10-15 09:47:41,2019-10-15,9,47
BHAAIR,387.5,393.5,391.95,391.95,387.2,393.5,2019-10-15 09:47:41,2019-10-15,9,47
HCLTEC,1098.5,1087.05,1088.6,1098.8,1081.05,1087.05,2019-10-15 09:47:41,2019-10-15,9,47
TITIND,1264.25,1249.05,1251,1264.5,1251,1249.05,2019-10-15 09:47:41,2019-10-15,9,47
MAHMAH,567,568.5,570,571.45,566.65,568.5,2019-10-15 09:47:41,2019-10-15,9,47
BAFINS,8105.35,8073.45,8108.95,8131.45,8084.5,8073.45,2019-10-15 09:47:41,2019-10-15,9,47
NTPC,118.95,117.8,117.7,119.1,117.35,117.8,2019-10-15 09:47:41,2019-10-15,9,47
NESIND,14044.95,14174.1,14175,14175,14040,14174.1,2019-10-15 09:47:41,2019-10-15,9,47
POWGRI,199.9,198.45,198.8,200,198.45,198.45,2019-10-15 09:47:41,2019-10-15,9,47
ULTCEM,4186.35,4171.9,4121.35,4207.65,4121.35,4171.9,2019-10-15 09:47:41,2019-10-15,9,47
TECMAH,723.9,720.6,721,728,721,720.6,2019-10-15 09:47:41,2019-10-15,9,47
SUNPHA,396.65,394.6,397.25,400,395.25,394.6,2019-10-15 09:47:41,2019-10-15,9,47
ONGC,135.85,135.2,136.6,138,135.7,135.2,2019-10-15 09:47:41,2019-10-15,9,47
BAAUTO,2966.2,2956.05,2959,2977.2,2956.5,2956.05,2019-10-15 09:47:41,2019-10-15,9,47
BHARAS,NA,5767.35,NA,NA,NA,5767.35,2019-10-15 09:47:41,2019-10-15,9,47
INDOIL,148,144.8,145.95,148.3,145.2,144.8,2019-10-15 09:47:41,2019-10-15,9,47
COALIN,189.8,190.1,188.3,190.6,188.1,190.1,2019-10-15 09:47:41,2019-10-15,9,47
WIPRO,242,243.35,244,245.5,241,243.35,2019-10-15 09:47:41,2019-10-15,9,47
HERHON,2639,2609.25,2616.85,2645.5,2615,2609.25,2019-10-15 09:47:41,2019-10-15,9,47
BRIIND,3128,3107.2,3139.9,3154.2,3115.45,3107.2,2019-10-15 09:47:41,2019-10-15,9,47
UNIP,584.85,586.95,585.3,587.15,580.95,586.95,2019-10-15 09:47:41,2019-10-15,9,47
DRREDD,2668.05,2648.9,2663.1,2677.85,2659.8,2648.9,2019-10-15 09:47:41,2019-10-15,9,47
ADAPOR,410.25,406.95,409.5,411.7,407.6,406.95,2019-10-15 09:47:41,2019-10-15,9,47
GRASIM,697,698.65,699,699.6,691.95,698.65,2019-10-15 09:47:41,2019-10-15,9,47
VEDLIM,146.15,147.85,147.5,147.5,145.6,147.85,2019-10-15 09:47:41,2019-10-15,9,47
HINDAL,187.4,188.8,188,188,186.4,188.8,2019-10-15 09:47:41,2019-10-15,9,47
TATSTE,341.65,344.85,345.5,346.15,340.5,344.85,2019-10-15 09:47:41,2019-10-15,9,47
EICMOT,18565,18311.25,18370,18603,18270,18311.25,2019-10-15 09:47:41,2019-10-15,9,47
GAIL,126.1,125.85,126.5,126.85,125.9,125.85,2019-10-15 09:47:41,2019-10-15,9,47
JSWSTE,215.8,221.5,221.05,221.05,215.8,221.5,2019-10-15 09:47:41,2019-10-15,9,47
BHAINF,257.05,259.25,258.25,258.25,255.45,259.25,2019-10-15 09:47:41,2019-10-15,9,47
CIPLA,440.6,440.85,444,444.5,436,440.85,2019-10-15 09:47:41,2019-10-15,9,47
TATMOT,125.1,127.8,127.5,127.5,125,127.8,2019-10-15 09:47:41,2019-10-15,9,47
ZEEENT,241,242.55,237.95,241.25,234.85,242.55,2019-10-15 09:47:41,2019-10-15,9,47
YESBAN,40.35,40,41,41.4,40.05,40,2019-10-15 09:47:41,2019-10-15,9,47
BSESEN,38409.67,38214.47,38316.49,38443.34,38238.27,38214.47,2019-10-15 10:19:09,2019-10-15,10,19
HDFBAN,1216.15,1203.15,1210,1217.7,1207.3,1203.15,2019-10-15 10:19:09,2019-10-15,10,19
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-15 10:19:09,2019-10-15,10,19
HDFC,2020,2011.5,2013,2030.05,2013,2011.5,2019-10-15 10:19:09,2019-10-15,10,19
INFTEC,770,785.65,773.8,774.75,765,785.65,2019-10-15 10:19:09,2019-10-15,10,19
ICIBAN,432.35,428.6,430,433.2,428,428.6,2019-10-15 10:19:09,2019-10-15,10,19
ITC,247.3,244.2,247.4,247.5,245.1,244.2,2019-10-15 10:19:09,2019-10-15,10,19
TCS,2037.7,2020.95,2028.8,2046.9,2024.2,2020.95,2019-10-15 10:19:09,2019-10-15,10,19
KOTMAH,1603,1583.75,1586,1609.5,1577.8,1583.75,2019-10-15 10:19:09,2019-10-15,10,19
LARTOU,1433.2,1422.65,1427,1435.4,1421,1422.65,2019-10-15 10:19:09,2019-10-15,10,19
HINLEV,2040.05,2014.7,2052,2052.9,2026.75,2014.7,2019-10-15 10:19:09,2019-10-15,10,19
AXIBAN,688,683.55,683.65,690.35,681.8,683.55,2019-10-15 10:19:09,2019-10-15,10,19
STABAN,256.45,255.45,256.8,257.35,255.65,255.45,2019-10-15 10:19:09,2019-10-15,10,19
BAJFI,3888.9,3881.65,3909,3916.75,3880,3881.65,2019-10-15 10:19:09,2019-10-15,10,19
